排名,2004,公司名称,国家,营业收入百万美元,利润百万美元,资产百万美元,雇员人数
169,173,Groupe Caisse d'epargne,法国,"34,245.10",2573.4,"700,820.2","54,400"
170,154,Canon,日本,"34,091.60",3488.0,"34,258.6","115,583"
171,113,Meiji Yasuda Life Insurance,日本,"33,632.40",2036.6,"224,289.3","41,062"
172,-,Standard Life Assurance,英国,"33,452.10",0.0,"206,455.2","11,320"
173,104,Caremark Rx,美国,"32,991.30",932.4,"12,850.8","13,628"
174,147,Sumitomo Mitsui Financial Group,日本,"32,725.00",6066.4,"906,936.0","40,681"
175,172,PepsiCo,美国,"32,562.00",4078.0,"31,727.0","157,000"
176,270,Lehman Brothers Holdings,美国,"32,420.00",3260.0,"410,063.0","22,919"
177,186,Novartis,瑞士,"32,212.00",6130.0,"57,732.0","90,924"
178,179,Volvo,瑞典,"32,183.60",1746.2,"32,309.0","82,000"
179,164,Franz Haniel,德国,"32,172.50",730.6,"161,420.4","58,444"
180,159,Walt Disney,美国,"31,944.00",2533.0,"53,158.0","133,000"
181,156,Mitsubishi Electric,日本,"31,833.40",845.2,"28,084.6","99,444"
182,183,Prudential Financial,美国,"31,708.00",3540.0,"417,776.0","38,853"
183,181,Rabobank,荷兰,"31,659.30",2359.6,"597,138.4","45,580"
184,184,Mizuho Financial Group,日本,"31,421.50",5740.2,"1,267,998.4","45,758"
185,160,Veolia Environnement,法国,"31,368.40",774.1,"42,829.5","271,153"
186,275,Plains All Amer. Pipeline,美国,"31,177.30",217.8,"4,120.3","2,000"
187,234,Sunoco,美国,"31,176.00",974.0,"9,931.0","13,800"
188,168,Deutsche Bahn,德国,"31,132.40",720.7,"55,558.9","216,389"
189,191,Best Buy,美国,"30,848.00",1140.0,"11,864.0","128,000"
190,166,Northrop Grumman,美国,"30,721.00",1400.0,"34,214.0","123,600"
191,175,Bouygues,法国,"30,548.40",1033.8,"29,015.1","115,441"
192,171,Sysco,美国,"30,281.90",961.5,"8,267.9","47,500"
193,174,American Express,美国,"30,080.00",3734.0,"113,960.0","6,500"
194,197,Millea Holdings,日本,"30,029.80",794.6,"120,856.5","19,761"
195,241,BHP Billiton,澳大利亚,"29,587.00",6398.0,"41,948.0","36,468"
196,213,Anglo American,英国,"29,434.00",3521.0,"51,890.0","195,000"
197,215,FedEx,美国,"29,363.00",1449.0,"20,404.0","215,838"
198,169,Foncière Euris,法国,"29,308.40",21.1,"27,036.9","147,523"
199,229,Industrial & Commercial Bank of China,中国,"29,167.10",4113.5,"799,741.2","361,623"
